1.9805194805	 1	 0.05	  0.2909428234
1.921875	 5	 0.25	  0.1225585938
1.9076923077	 10	 0.5	  0.1202366864
1.875	         50	 1.25	  0.115327381
1.8601190476	 100	 5	  0.1148844955
1.6959064327	 200	 8	  0.1080674396
1.3808139535	 300	 18	  0.0982794754
1.0628571429	 400	 32	  0.0875102041
1.783625731	 150	 4.5	  0.1106323313
0.8837209302	 500	 25	  0.0838290968
0.4264705882	 1000	 50	  0.0272491349
0.2209302326	 2000	 200	  0.0354921579
1.1954022989	 350	 12.25	  0.0918219051
1.5406976744	 250	 12.5	  0.102927258   
