0.700	0.0048	        -0.59	 0.00436	0.0007092199	1.19834443510315E-005
1.488	0.007952	-0.629	 0.004516	0.0015075988	2.31922962032255E-005
2.334	0.011336	-0.652	 0.004608	0.0023647416	3.52261650699211E-005
3.039	0.014156	-0.665	 0.00466	0.0030790274	4.52543891255008E-005
4.000	0.018	        -0.68	 0.00472	0.0040526849	5.89240675899151E-005
4.420	0.01968	        -0.685	 0.00474	0.0044782168	6.48983287294094E-005
5.050	0.0222	        -0.691	 0.004764	0.0051165147	7.38597204386508E-005
6.010	0.02604	        -0.7	 0.0048	        0.0060891591	8.75151744717806E-005
7.040	0.03016	        -0.709	 0.004836	0.0071327254	0.0001021663
8.130	0.03452	        -0.718	 0.004872	0.0082370821	0.000117671
9.090	0.03836	        -0.724	 0.004896	0.0092097264	0.0001313264
10.64	0.06256	        -0.733	 0.004932	0.0107801418	0.0001716114
12.01	0.06804	        -0.74	 0.00496	0.0121681864	0.0001910988
13.09	0.07236	        -0.745	 0.00498	0.0132624113	0.0002064612
14.10	0.0764	        -0.749	 0.004996	0.0142857143	0.0002208279
15.07	0.08028	        -0.752	 0.005008	0.0152684904	0.0002346256
1.069	0.024276	-0.61	 0.00444	0.00108308	3.5469341561885E-005
