0.872494116	9.369369369	1	0.02
0.876033058	9.272727273	3	0.45
0.852203555	8.918918919	5	1.25
0.831912994	8.468468468	7	2.45
0.817709601	8.153153153	9	4.05
0.807564321	7.927927928	10	0.2
0.797419041	7.702702703	11	0.242
0.785244704	7.432432432	12	0.288
0.77712848	7.252252252	13	0.338
0.766983199	7.027027027	14	0.392
0.490625761	6.891891892	14.3	0.40898
0.484538593	6.756756757	15	0.45
0.476422368	6.576576577	16	0.512
0.441928415	5.810810811	20	0.8
0.374969564	4.324324324	31	0.961
0.336011687	3.459459459	40	0.8
0.340236686	3.076923077	50	1.25
0.198779586	2.134615385	75	1.125
0.174278846	1.625	100	2
0.100776627	1.096153846	150	2.25
0.075351331	0.567307692	300	9
0.035947712	0.333333333	500	12.5
0.028066128	0.17254902	1000	2
0.023483728	0.088461538	2000	4
